FILE=RE NEET PST 3 (1)-1-4.pdf
PARALLEL=1
provider=tesseract:pdf(4p)
draftCount=22
distinctQNumbers=22
qnums=[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]
crops=22
----
pos=0 | page=1 | span=1..- | qnum=1 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=32,875,621,1122 | textSha=b2a92fe5ad7c | cropKey=verify/question-p1-0-RND.png | crop=18123:9f7783715de6
pos=1 | page=1 | span=1..- | qnum=2 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=32,1119,621,1584 | textSha=9c67e3f01f51 | cropKey=verify/question-p1-1-RND.png | crop=20516:c8804122c2f8
pos=2 | page=1 | span=1..- | qnum=3 | type=VISUAL | class=MCQ | opt=2 | invalid=0 | needsReview=0 | coords=616,875,1224,1121 | textSha=e23116639e83 | cropKey=verify/question-p1-2-RND.png | crop=17422:de3de14868e6
pos=3 | page=1 | span=1..2 | qnum=4 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=1 | coords=616,1118,1224,1584 | textSha=ddb3dd66281c | cropKey=verify/question-p1-3-RND.png | crop=27403:a298b4f83f59
pos=4 | page=2 | span=2..- | qnum=5 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=0 | coords=31,86,621,976 | textSha=15d5b6517294 | cropKey=verify/question-p2-4-RND.png | crop=60804:cc7fd791ff43
pos=5 | page=2 | span=2..- | qnum=6 | type=VISUAL | class=MCQ | opt=2 | invalid=0 | needsReview=0 | coords=31,974,621,1584 | textSha=da21304d009e | cropKey=verify/question-p2-5-RND.png | crop=51958:f129df9b7092
pos=6 | page=2 | span=2..- | qnum=7 | type=VISUAL | class=UNKNOWN | opt=4 | invalid=0 | needsReview=0 | coords=615,86,1224,610 | textSha=2f1925b66b0b | cropKey=verify/question-p2-6-RND.png | crop=27042:ee3f13aa34db
pos=7 | page=2 | span=2..- | qnum=8 | type=VISUAL | class=MCQ | opt=4 | invalid=0 | needsReview=0 | coords=615,608,1224,883 | textSha=21b6ce8afeee | cropKey=verify/question-p2-7-RND.png | crop=27688:d34073561b93
pos=8 | page=2 | span=2..3 | qnum=9 | type=VISUAL | class=MCQ | opt=3 | invalid=0 | needsReview=1 | coords=615,881,1224,1584 | textSha=131fbc529057 | cropKey=verify/question-p2-8-RND.png | crop=50175:8af5e4e3cce3
pos=9 | page=3 | span=3..- | qnum=10 | type=VISUAL | class=MCQ | opt=3 | invalid=0 | needsReview=0 | coords=32,86,622,329 | textSha=3da9186148ac | cropKey=verify/question-p3-9-RND.png | crop=19979:ff2bd1710fac
pos=10 | page=3 | span=3..- | qnum=11 | type=VISUAL | class=DIAGRAM_BASED | opt=4 | invalid=0 | needsReview=0 | coords=32,326,622,765 | textSha=c1a68d45492c | cropKey=verify/question-p3-10-RND.png | crop=32991:8b1fb01e1070
